trading_day,expiration_day,strike,ticker
2022-05-20,2022-06-17,115000,AAPL
2022-05-20,2022-06-17,120000,AAPL
2022-05-20,2022-06-17,125000,AAPL
2022-05-20,2022-06-17,130000,AAPL
2022-05-20,2022-06-17,135000,AAPL
2022-05-20,2022-06-17,140000,AAPL
2022-05-20,2022-06-17,145000,AAPL
2022-05-20,2022-06-17,150000,AAPL
2022-05-20,2022-06-17,155000,AAPL
2022-05-20,2022-06-17,160000,AAPL
2022-05-20,2022-06-17,165000,AAPL
2022-06-17,2022-07-15,110000,AAPL
2022-06-17,2022-07-15,115000,AAPL
2022-06-17,2022-07-15,120000,AAPL
2022-06-17,2022-07-15,125000,AAPL
2022-06-17,2022-07-15,130000,AAPL
2022-06-17,2022-07-15,135000,AAPL
2022-06-17,2022-07-15,140000,AAPL
2022-06-17,2022-07-15,145000,AAPL
2022-06-17,2022-07-15,150000,AAPL
2022-06-17,2022-07-15,155000,AAPL
2022-06-17,2022-07-15,160000,AAPL
2022-07-15,2022-08-19,125000,AAPL
2022-07-15,2022-08-19,130000,AAPL
2022-07-15,2022-08-19,135000,AAPL
2022-07-15,2022-08-19,140000,AAPL
2022-07-15,2022-08-19,145000,AAPL
2022-07-15,2022-08-19,150000,AAPL
2022-07-15,2022-08-19,155000,AAPL
2022-07-15,2022-08-19,160000,AAPL
2022-07-15,2022-08-19,165000,AAPL
2022-07-15,2022-08-19,170000,AAPL
2022-07-15,2022-08-19,175000,AAPL
2022-08-19,2022-09-16,150000,AAPL
2022-08-19,2022-09-16,155000,AAPL
2022-08-19,2022-09-16,160000,AAPL
2022-08-19,2022-09-16,165000,AAPL
2022-08-19,2022-09-16,170000,AAPL
2022-08-19,2022-09-16,175000,AAPL
2022-08-19,2022-09-16,180000,AAPL
2022-08-19,2022-09-16,185000,AAPL
2022-08-19,2022-09-16,187500,AAPL
2022-08-19,2022-09-16,190000,AAPL
2022-08-19,2022-09-16,192500,AAPL
2022-09-16,2022-10-21,125000,AAPL
2022-09-16,2022-10-21,130000,AAPL
2022-09-16,2022-10-21,135000,AAPL
2022-09-16,2022-10-21,140000,AAPL
2022-09-16,2022-10-21,145000,AAPL
2022-09-16,2022-10-21,150000,AAPL
2022-09-16,2022-10-21,155000,AAPL
2022-09-16,2022-10-21,160000,AAPL
2022-09-16,2022-10-21,165000,AAPL
2022-09-16,2022-10-21,170000,AAPL
2022-09-16,2022-10-21,175000,AAPL
2022-10-21,2022-11-18,125000,AAPL
2022-10-21,2022-11-18,130000,AAPL
2022-10-21,2022-11-18,135000,AAPL
